80,"新高円寺駅","東京メトロ丸ノ内線","","徒歩3分以内",80,"2019-01-14 06:40:59.669990","2019-01-14 06:40:59.669990"
81,"戸田公園駅","JR東北本線＜埼京線＞",0.7km,"徒歩9分以上",81,"2019-01-14 06:41:14.378931","2019-01-14 06:41:14.378931"
82,"南新宿駅","小田急小田原線",0.3km,"徒歩4分以上",82,"2019-01-14 06:41:42.965870","2019-01-14 06:41:42.965870"
83,"江古田駅","西武池袋線",0.2km,"徒歩2分以上",83,"2019-01-14 06:42:01.779615","2019-01-14 06:42:01.779615"
84,"清澄白河駅","東京都営大江戸線ほか",0.4km,"徒歩6分以上",84,"2019-01-14 06:42:40.066417","2019-01-14 06:42:40.066417"
85,"赤羽岩淵駅","東京メトロ南北線ほか",0.3km,"徒歩3分以上",85,"2019-01-14 06:43:12.306864","2019-01-14 06:43:12.306864"
86,"東池袋駅","東京メトロ有楽町線",0.1km,"徒歩1分以上",86,"2019-01-14 06:43:20.413149","2019-01-14 06:43:20.413149"
87,"蒲田駅","JR東海道本線ほか",0.2km,"徒歩3分以上",87,"2019-01-14 06:43:40.742300","2019-01-14 06:43:40.742300"
88,"平和島駅","京急本線",0.5km,"徒歩7分以上",88,"2019-01-14 06:43:58.604542","2019-01-14 06:43:58.604542"
89,"戸越公園駅","東急大井町線",0.3km,"徒歩3分以上",89,"2019-01-14 06:44:07.756933","2019-01-14 06:44:07.756933"
90,"牛込神楽坂駅","東京都営大江戸線",0.3km,"徒歩4分以上",90,"2019-01-14 06:44:09.625487","2019-01-14 06:44:09.625487"
91,"京急蒲田駅","京急本線ほか",0.2km,"徒歩2分以上",91,"2019-01-14 06:44:10.793413","2019-01-14 06:44:10.793413"
92,"三田駅","東京都営浅草線ほか",0.5km,"徒歩6分以上",92,"2019-01-14 06:44:13.062892","2019-01-14 06:44:13.062892"
93,"飯田橋駅","JR中央本線ほか",0.2km,"徒歩2分以上",93,"2019-01-14 06:44:14.902278","2019-01-14 06:44:14.902278"
94,"外苑前駅","東京メトロ銀座線",0.3km,"徒歩3分以上",94,"2019-01-14 06:44:15.992258","2019-01-14 06:44:15.992258"
95,"茗荷谷駅","東京メトロ丸ノ内線",0.1km,"徒歩1分以上",95,"2019-01-14 06:44:17.108024","2019-01-14 06:44:17.108024"
96,"千鳥町駅","東急池上線",0.2km,"徒歩2分以上",96,"2019-01-14 06:44:17.807335","2019-01-14 06:44:17.807335"
97,"神保町駅","東京都営三田線ほか",0.3km,"徒歩4分以上",97,"2019-01-14 06:44:19.115983","2019-01-14 06:44:19.115983"
98,"新宿三丁目駅","東京メトロ丸ノ内線ほか",0.4km,"徒歩5分以上",98,"2019-01-14 06:44:20.319025","2019-01-14 06:44:20.319025"
99,"三田駅","東京都営浅草線ほか",0.3km,"徒歩4分以上",99,"2019-01-14 06:44:21.464874","2019-01-14 06:44:21.464874"
100,"乃木坂駅","東京メトロ千代田線",0.2km,"徒歩2分以上",100,"2019-01-14 06:44:22.616270","2019-01-14 06:44:22.616270"
101,"森下駅","東京都営新宿線ほか",0.1km,"徒歩1分以上",101,"2019-01-14 06:44:24.460040","2019-01-14 06:44:24.460040"
102,"川崎駅","JR東海道本線ほか",0.5km,"徒歩7分以上",102,"2019-01-14 06:44:28.667389","2019-01-14 06:44:28.667389"
103,"元住吉駅","東急東横線",0.5km,"徒歩6分以上",103,"2019-01-14 06:44:37.727676","2019-01-14 06:44:37.727676"
104,"新丸子駅","東急東横線",0.1km,"徒歩3分以内",104,"2019-01-14 06:44:38.867304","2019-01-14 06:44:38.867304"
105,"武蔵小杉駅","JR南武線ほか",0.3km,"徒歩3分以上",105,"2019-01-14 06:44:50.219772","2019-01-14 06:44:50.219772"
106,"川崎駅","JR東海道本線ほか",0.5km,"徒歩6分以上",106,"2019-01-14 06:44:53.364562","2019-01-14 06:44:53.364562"
107,"鶴見駅","JR東海道本線ほか",1.4km,"徒歩19分以上",107,"2019-01-14 06:44:58.108319","2019-01-14 06:44:58.108319"
108,"駒沢大学駅","東急田園都市線",0.8km,"徒歩11分以上",108,"2019-01-14 06:45:04.009799","2019-01-14 06:45:04.009799"
109,"等々力駅","東急大井町線",0.1km,"徒歩1分以上",109,"2019-01-14 06:45:09.644201","2019-01-14 06:45:09.644201"
110,"梅ヶ丘駅","小田急小田原線",0.1km,"徒歩3分以内",110,"2019-01-14 06:45:11.915136","2019-01-14 06:45:11.915136"
111,"雪が谷大塚駅","東急池上線",0.3km,"徒歩4分以上",111,"2019-01-14 06:45:13.230103","2019-01-14 06:45:13.230103"
112,"三軒茶屋駅","東急田園都市線ほか",0.2km,"徒歩2分以上",112,"2019-01-14 06:45:15.523201","2019-01-14 06:45:15.523201"
113,"荏原中延駅","東急池上線",0.3km,"徒歩3分以上",113,"2019-01-14 06:45:16.192408","2019-01-14 06:45:16.192408"
114,"笹塚駅","京王京王線",0.5km,"徒歩6分以上",114,"2019-01-14 06:45:17.319754","2019-01-14 06:45:17.319754"
115,"自由が丘駅","東急東横線ほか",0.4km,"徒歩5分以上",115,"2019-01-14 06:45:18.175473","2019-01-14 06:45:18.175473"
116,"五反田駅","JR山手線ほか",0.4km,"徒歩5分以上",116,"2019-01-14 06:45:19.346244","2019-01-14 06:45:19.346244"
117,"代々木駅","JR中央本線ほか",0.4km,"徒歩5分以上",117,"2019-01-14 06:45:20.446321","2019-01-14 06:45:20.446321"
118,"荻窪駅","JR中央本線ほか",0.1km,"徒歩1分以上",118,"2019-01-14 06:45:49.223350","2019-01-14 06:45:49.223350"
119,"千歳烏山駅","京王京王線",0.8km,"徒歩11分以上",119,"2019-01-14 06:45:51.925354","2019-01-14 06:45:51.925354"
120,"千歳烏山駅","京王京王線",0.1km,"徒歩1分以上",120,"2019-01-14 06:45:53.966549","2019-01-14 06:45:53.966549"
121,"宮前平駅","東急田園都市線",0.5km,"徒歩6分以上",121,"2019-01-14 06:45:57.090702","2019-01-14 06:45:57.090702"
122,"荻窪駅","JR中央本線ほか",0.4km,"徒歩5分以上",122,"2019-01-14 06:46:03.766773","2019-01-14 06:46:03.766773"
123,"西馬込駅","東京都営浅草線",0.4km,"徒歩5分以上",123,"2019-01-14 06:46:26.257740","2019-01-14 06:46:26.257740"
124,"目黒駅","JR山手線ほか",0.2km,"徒歩3分以上",124,"2019-01-14 06:46:27.467611","2019-01-14 06:46:27.467611"
125,"天王洲アイル駅","東京モノレール東京モノレール羽田線ほか",0.3km,"徒歩4分以上",125,"2019-01-14 06:46:28.208130","2019-01-14 06:46:28.208130"
126,"旗の台駅","東急池上線ほか",0.2km,"徒歩3分以上",126,"2019-01-14 06:46:29.578240","2019-01-14 06:46:29.578240"
127,"昭和島駅","東京モノレール東京モノレール羽田線",0.5km,"徒歩6分以上",127,"2019-01-14 06:46:31.821057","2019-01-14 06:46:31.821057"
128,"祐天寺駅","東急東横線",0.4km,"徒歩5分以上",128,"2019-01-14 06:46:33.131168","2019-01-14 06:46:33.131168"
129,"西小山駅","東急目黒線",0.6km,"徒歩9分以上",129,"2019-01-14 06:46:34.418113","2019-01-14 06:46:34.418113"
130,"大鳥居駅","京急空港線",0.4km,"徒歩5分以上",130,"2019-01-14 06:46:35.612673","2019-01-14 06:46:35.612673"
131,"国際展示場駅","東京臨海高速鉄道東京臨海高速鉄道りんかい線",0.5km,"徒歩6分以上",131,"2019-01-14 06:46:36.884027","2019-01-14 06:46:36.884027"
132,"整備場駅","東京モノレール東京モノレール羽田線",0.6km,"徒歩8分以上",132,"2019-01-14 06:46:38.070183","2019-01-14 06:46:38.070183"
133,"祐天寺駅","東急東横線",0.1km,"徒歩1分以上",133,"2019-01-14 06:46:38.763869","2019-01-14 06:46:38.763869"
134,"荏原中延駅","東急池上線",0.5km,"徒歩6分以上",134,"2019-01-14 06:46:40.000106","2019-01-14 06:46:40.000106"
135,"目黒駅","JR山手線ほか",0.1km,"徒歩1分以上",135,"2019-01-14 06:46:40.696703","2019-01-14 06:46:40.696703"
136,"三軒茶屋駅","東急田園都市線ほか",0.6km,"徒歩7分以上",136,"2019-01-14 06:46:41.904028","2019-01-14 06:46:41.904028"
137,"目黒駅","JR山手線ほか",0.6km,"徒歩8分以上",137,"2019-01-14 06:46:42.593318","2019-01-14 06:46:42.593318"
138,"都立大学駅","東急東横線",0.7km,"徒歩9分以上",138,"2019-01-14 06:46:43.712924","2019-01-14 06:46:43.712924"
139,"生田駅","小田急小田原線",0.3km,"徒歩4分以上",139,"2019-01-14 06:46:56.883428","2019-01-14 06:46:56.883428"
140,"狛江駅","小田急小田原線","","徒歩3分以内",140,"2019-01-14 06:47:10.616314","2019-01-14 06:47:10.616314"
141,"登戸駅","JR南武線ほか",0.1km,"徒歩3分以内",141,"2019-01-14 06:47:13.468571","2019-01-14 06:47:13.468571"
142,"荻窪駅","JR中央本線ほか",0.4km,"徒歩5分以上",142,"2019-01-14 06:47:17.600992","2019-01-14 06:47:17.600992"
143,"武蔵関駅","西武新宿線",0.3km,"徒歩3分以上",143,"2019-01-14 06:47:21.510804","2019-01-14 06:47:21.510804"
