32,"ゲートウェイスタジオ 高田馬場戸山口店","東京都新宿区高田馬場４丁目１−７ 市川ビルデンス",35.710138,139.702504,"2019-01-14 06:37:44.846195","2019-01-14 06:37:44.846195",,,1,2017-10-11.jpg,ChIJRfdlFjqNGGARXxBR_eMo4MA
33,"スタジオペンタ渋谷シティサイド","東京都渋谷区桜丘町２４−２",35.6568139,139.7007648,"2019-01-14 06:37:45.838420","2019-01-14 06:37:45.838420",,,1,unnamed.jpg,ChIJ0fxwZVeLGGARDDf38Vf7QqI
34,"ダボスタジオ","東京都板橋区大山東町４５−４ ＳＯＬ",35.749306,139.705352,"2019-01-14 06:37:47.164075","2019-01-14 06:37:47.164075",,,1,IMG_20190109_202743.jpg,ChIJdWjZXLmSGGARoCoqy-hsk84
35,"TMスタジオ","東京都港区東新橋２丁目５−１１",35.6625177,139.7573153,"2019-01-14 06:37:47.878984","2019-01-14 06:37:47.878984",,,1,,ChIJq99PqeyLGGARXDIbzkg2vY0
36,"ダンススタジオ ベースオントップ高田馬場店｜BASS ON TOP","東京都新宿区高田馬場１丁目３３−１４ サンフラワービル",35.7112166,139.7039302,"2019-01-14 06:37:48.905396","2019-01-14 06:37:48.905396",,,1,2016-07-03.jpg,ChIJX3BW0zuNGGARNAjquhhX6y0
37,"スタジオ音楽館 アキバ","東京都千代田区外神田１丁目３−１３",35.6984243,139.7697622,"2019-01-14 06:37:49.911789","2019-01-14 06:37:49.911789",,,1,unnamed.jpg,ChIJTRzv-hyMGGARDWmSO-_1MBA
38,"Studio DIVO 亀戸","東京都江東区亀戸１丁目３４−１１ Ｄ―Ｌａｂ",35.6954888,139.8243228,"2019-01-14 06:37:50.940675","2019-01-14 06:37:50.940675",,,1,2018-09-01.jpg,ChIJz20E66C7JhURCpWRnX_JyJQ
39,"スタジオベイド高輪店","東京都港区高輪３丁目１０−１ 藤ビル",35.631998,139.731143,"2019-01-14 06:37:52.003486","2019-01-14 06:37:52.003486",,,1,unnamed.jpg,ChIJtfFYaP-KGGARi51SF02Qvus
40,"サウンドスタジオノア初台店","東京都渋谷区代々木４丁目３６−１８",35.6811912,139.6891125,"2019-01-14 06:37:52.982475","2019-01-14 06:37:52.982475",,,1,14.8_hatsudai_E1st.jpg,ChIJk8Aj8jLzGGARky6r0edlqN8
41,"スタジオベイド自由が丘店","東京都世田谷区奥沢５丁目１ 奥沢駅前ビル",35.6038704,139.6714658,"2019-01-14 06:37:55.151308","2019-01-14 06:37:55.151308",,,1,DSC_0212.jpg,ChIJiZ_RjyL1GGARl7RDD6pa7Xo
42,"音楽レンタルスタジオマザーハウス池袋店","東京都豊島区東池袋１丁目３１−１５ トーカン池袋第２キャステール",35.731959,139.716405,"2019-01-14 06:37:56.166275","2019-01-14 06:37:56.166275",,,1,2017-07-19.jpg,ChIJd8ARd2aNGGAR2EjDtXgtFV4
43,"ゲートウェイスタジオ 高田馬場３号店","東京都新宿区高田馬場１丁目２８−６",35.711677,139.7047706,"2019-01-14 06:37:57.226338","2019-01-14 06:37:57.226338",,,1,DSC_7853.jpg,ChIJEcMh2DuNGGARpBxMl5zzqMg
44,"ミュージックスタジオ・フォルテ 芸劇店","東京都豊島区西池袋１丁目８−１ 東京芸術劇場",35.7296927,139.7076664,"2019-01-14 06:37:58.192780","2019-01-14 06:37:58.192780",,,1,IMG_3502.jpg,ChIJOZeEXFyNGGARQxJMNuMMgqM
45,"音楽練習場オトレン","東京都新宿区新宿２丁目１４ 第２早川屋ビル",35.6907021,139.7088048,"2019-01-14 06:37:59.176437","2019-01-14 06:37:59.176437",,,1,2017-09-03.jpg,ChIJDzPx09yMGGARxXmYCqHzuwo
46,"サイトウミュージックスタジオ","東京都渋谷区渋谷２丁目１９−１７ グローリア渋谷ビル",35.659678,139.70409,"2019-01-14 06:38:00.198174","2019-01-14 06:38:00.198174",,,1,unnamed.jpg,ChIJ0csp9FiLGGARUt0BJhb_eGA
47,"Rinky Dink Studio 下北沢","東京都世田谷区北沢２丁目３４−５ ミズ・クラウディア",35.663332,139.668381,"2019-01-14 06:38:01.241716","2019-01-14 06:38:01.241716",,,1,IMG_20180303_113049.jpg,ChIJW0zC_GrzGGARVPk4MHbqAFA
48,"池袋音楽スタジオ ビーボ サウンドスタジオ","東京都豊島区池袋２丁目４７−３ キウレイコンビル",35.7334,139.710977,"2019-01-14 06:38:02.304518","2019-01-14 06:38:02.304518",,,1,unnamed.jpg,ChIJ2UKJGl6NGGARpqHkACP2eGI
49,"サウンドスタジオノア下北沢店","東京都世田谷区北沢３丁目２０−１７",35.663469,139.669578,"2019-01-14 06:38:03.374353","2019-01-14 06:38:03.374353",,,1,unnamed.jpg,ChIJwTwEi2rzGGAR0eBg3Hl8Ec0
50,"スタジオリボレ","東京都千代田区神田佐久間河岸６９ 朝風染常ビル",35.6971845,139.7764325,"2019-01-14 06:38:04.361673","2019-01-14 06:38:04.361673",,,1,2018-09-22.jpg,ChIJo4yh46iOGGARQ7rTovQm7R4
51,"スタジオペンタ渋谷ムーンサイド","東京都渋谷区桜丘町２５−１８ ＮＴ渋谷ビル",35.656905,139.7005741,"2019-01-14 06:38:05.459688","2019-01-14 06:38:05.459688",,,1,unnamed.jpg,ChIJZUOY7lmLGGARY2nQASENcOU
52,"music studio MAYS-ミュージックスタジオメイズ","東京都世田谷区松原５丁目３−１６",35.6624916,139.6548852,"2019-01-14 06:38:07.759322","2019-01-14 06:38:07.759322",,,1,1494511741409.jpg,ChIJhfx8hQvzGGARrgZAU-GjqlI
53,"サウンドスタジオノア都立大店","東京都目黒区中根１丁目２−２ 都立大第２ノアビル",35.6182561,139.6764207,"2019-01-14 06:38:08.694075","2019-01-14 06:38:08.694075",,,1,unnamed.jpg,ChIJQ9vt-tv0GGARDhzcQyrMa4w
54,"サウンドスタジオノア駒沢店","東京都世田谷区上馬４丁目２−７ 上馬ノアビル",35.634521,139.662872,"2019-01-14 06:38:09.804086","2019-01-14 06:38:09.804086",,,1,unnamed.jpg,ChIJMVvXY5D0GGAR4Rrs4DrenT0
55,"サウンドスタジオノア野方店","東京都中野区野方３丁目３０−７",35.719275,139.653969,"2019-01-14 06:38:10.921550","2019-01-14 06:38:10.921550",,,1,unnamed.jpg,ChIJy1gENnntGGARsF33ftUo0Qk
56,"スタジオペンタ大塚店","東京都豊島区東池袋２丁目１１−３ ヴィラ・フランセⅩⅣ",35.7311065,139.7243624,"2019-01-14 06:38:11.976455","2019-01-14 06:38:11.976455",,,1,lobby-2.jpg,ChIJiS9yAHGNGGARw4rqJYTI9KQ
57,"サウンドスタジオノア赤坂店","東京都港区赤坂３丁目１３−１１ 佐藤ビル",35.67311,139.737283,"2019-01-14 06:38:13.042460","2019-01-14 06:38:13.042460",,,1,unnamed.jpg,ChIJu6hQNIeLGGARf5rRIjgFNvg
58,"サウンドスタジオＭ 西葛西","東京都江戸川区西葛西６丁目７−１ 西葛西メトロセンター４番街",35.6647125,139.8575646,"2019-01-14 06:38:14.381774","2019-01-14 06:38:14.381774",,,1,2018-07-11.jpg,ChIJn-QfSeGHGGARk8FHutg3uso
59,"【ミュージックシティ】新宿音楽スタジオ/音楽教室","東京都新宿区歌舞伎町２丁目４５−４ 与三郎ビルB1",35.696477,139.700481,"2019-01-14 06:38:15.424095","2019-01-14 06:38:15.424095",,,1,unnamed.jpg,ChIJHbi8HSiNGGARKlVLNNkrV9M
60,"リンキィディンクスタジオ 葛西店","東京都江戸川区中葛西３丁目３４−９ セントラルビル",35.6642221,139.8716164,"2019-01-14 06:38:24.197572","2019-01-14 06:38:24.197572",,,1,IMG_20180909_095659.jpg,ChIJq6oTjO2HGGARu66LeodBndo
